customer_id,segment,tenure_months,monthly_spend,tickets_last90d,late_invoices_12m,usage_hours_30d,nps,churn
C101860,MidMarket,24,509.68,1,0,28.5,28,0
C100353,SMB,21,182.78,3,1,20.6,-1,0
C101333,MidMarket,24,391.24,1,2,16.8,9,0
C100905,MidMarket,22,721.13,1,2,30.3,20,0
C101289,SMB,28,196.3,4,2,24.8,23,0
C101273,SMB,5,163.08,2,1,0.0,54,0
C100938,MidMarket,23,421.72,1,1,28.1,-1,0
C101731,SMB,22,176.05,0,0,35.0,27,0
C100065,SMB,16,152.75,6,3,45.0,-1,0
C101323,SMB,20,141.44,3,1,39.6,16,0
C100056,MidMarket,31,762.43,0,2,43.5,25,0
C101292,MidMarket,24,636.36,0,0,27.1,-12,0
C101118,SMB,24,124.38,1,0,29.7,53,0
C100584,MidMarket,21,538.96,0,2,42.0,5,0
C100374,SMB,20,190.92,5,3,34.4,37,0
C100275,Enterprise,19,3432.99,2,1,44.1,16,0
C100746,SMB,20,113.52,2,2,30.9,20,0
C100128,SMB,12,145.97,1,3,32.4,13,0
C101646,MidMarket,20,625.5,3,3,31.5,26,0
C101852,MidMarket,16,743.25,2,0,43.0,15,0
C100674,SMB,22,151.04,1,1,22.0,29,0
C101664,SMB,18,112.73,1,1,36.8,-6,0
C101981,Enterprise,28,2019.7,1,1,62.8,59,0
C101083,SMB,15,163.62,1,2,20.7,26,1
C101922,Enterprise,31,4049.26,1,1,57.0,15,0
C100099,SMB,21,184.41,1,1,34.4,10,0
C101179,SMB,8,178.07,2,2,11.8,47,0
C100964,SMB,20,133.56,5,0,26.3,13,1
C100792,SMB,13,152.88,1,0,0.0,32,0
C100029,MidMarket,40,627.17,0,1,26.6,13,0
C100628,SMB,26,136.99,3,2,23.4,37,0
C100944,MidMarket,26,653.53,1,1,45.0,0,1
C100572,MidMarket,21,599.96,0,1,52.0,16,0
C100907,Enterprise,37,2435.12,3,0,42.7,9,0
C101080,SMB,16,138.19,2,1,0.0,27,0
C100450,MidMarket,8,786.92,0,1,49.2,16,0
C101609,SMB,22,200.72,0,1,17.8,39,0
C101290,Enterprise,48,3531.31,3,0,48.1,15,0
C101078,SMB,18,144.99,2,1,28.5,30,0
C100254,SMB,12,165.56,4,1,33.8,36,0
C100124,SMB,16,167.16,2,1,31.5,38,0
C101927,SMB,11,211.78,5,1,31.6,11,1
C100251,MidMarket,16,617.0,1,0,27.0,21,1
C100585,MidMarket,35,485.71,0,1,29.8,16,0
C101568,MidMarket,29,646.83,0,0,61.0,5,0
C100824,SMB,19,201.83,4,2,39.3,11,0
C100507,SMB,11,174.99,1,0,32.2,13,0
C100889,SMB,18,145.17,1,2,7.6,22,0
C100070,SMB,31,77.35,0,1,34.4,-3,0
C101608,SMB,21,206.94,0,1,13.4,23,0
C101532,SMB,26,115.88,3,0,21.1,1,0
C100247,SMB,20,189.69,3,2,37.2,1,0
C101450,MidMarket,27,408.99,2,0,49.3,16,0
C100212,SMB,17,151.11,3,1,24.4,51,1
C100909,MidMarket,29,440.73,2,0,46.5,19,1
C101741,MidMarket,21,498.41,0,1,38.4,21,0
C101244,MidMarket,23,590.48,0,1,28.8,4,0
C101696,SMB,21,164.79,2,0,21.3,31,0
C101182,SMB,17,161.71,1,2,13.6,18,0
C100361,SMB,11,193.16,4,3,11.7,41,1
C101473,MidMarket,20,595.61,2,1,31.8,14,0
C100678,MidMarket,23,609.87,2,0,62.8,7,0
C101621,SMB,22,164.97,1,1,33.6,23,0
C101089,Enterprise,10,2948.14,1,0,43.5,49,0
C101987,SMB,16,116.04,1,1,28.2,-9,1
C101847,SMB,23,168.64,4,0,20.1,29,0
C100987,Enterprise,30,2781.67,1,1,22.5,25,0
C101512,SMB,20,130.73,1,2,41.5,16,0
C100111,SMB,25,195.44,3,1,29.4,28,0
C101487,MidMarket,29,566.55,0,2,9.3,45,0
C101453,SMB,11,119.1,1,1,15.9,26,1
C100383,Enterprise,19,3158.24,0,0,30.3,43,0
C101395,MidMarket,15,300.95,0,1,36.6,14,0
C101054,MidMarket,36,744.54,1,1,38.4,22,0
C100755,MidMarket,11,316.59,1,0,18.6,3,0
C100324,Enterprise,10,2672.01,2,1,50.5,20,0
C101623,SMB,10,118.09,1,1,31.3,11,1
C100787,SMB,23,126.5,3,2,28.9,8,0
C100368,MidMarket,18,579.98,2,1,42.7,-22,0
C101819,SMB,16,130.93,2,3,18.5,-20,1
C100069,SMB,28,126.16,1,1,13.2,38,0
C100857,MidMarket,31,1023.12,1,0,25.5,17,0
C101483,SMB,11,152.88,0,1,40.1,0,0
C101555,SMB,13,89.29,2,2,30.8,3,1
